ID,Qualidade,Percepcao_Recompensas,Intencao_Comportamental
1,2.75,5.0,5.0
2,2.4166666666666665,5.0,5.0
3,3.25,4.555555555555555,4.0
4,3.5,3.888888888888889,3.2
5,1.0,2.5555555555555554,1.0
6,2.25,3.5555555555555554,3.7
7,2.5,3.2222222222222223,3.4
8,3.0,4.777777777777778,4.6
9,2.8333333333333335,5.0,3.9
10,1.8333333333333333,5.0,5.0
11,3.5,4.555555555555555,4.0
12,3.25,3.6666666666666665,3.6
13,1.3333333333333333,5.0,5.0
14,3.0,5.0,5.0
15,1.9166666666666667,5.0,5.0
16,3.0833333333333335,3.4444444444444446,3.6
17,2.25,5.0,5.0
18,2.1666666666666665,5.0,5.0
19,1.0,5.0,5.0
20,3.0833333333333335,5.0,5.0
21,2.75,5.0,5.0
22,1.0,5.0,5.0
23,1.0,5.0,5.0
24,2.5,3.0,2.6
25,3.0,5.0,5.0
26,2.5833333333333335,3.2222222222222223,2.9
27,2.75,5.0,5.0
28,2.6666666666666665,5.0,5.0
29,1.0,2.6666666666666665,2.9
30,3.0,3.4444444444444446,3.6
31,1.0,5.0,5.0
32,1.9166666666666667,5.0,5.0
33,2.5833333333333335,5.0,5.0
34,1.0,3.6666666666666665,2.2
35,1.0,5.0,5.0
36,2.4166666666666665,3.888888888888889,3.4
37,1.0,5.0,5.0
38,2.1666666666666665,5.0,5.0
39,2.1666666666666665,5.0,5.0
40,2.4166666666666665,5.0,5.0
41,1.0,5.0,5.0
42,1.0,5.0,5.0
43,1.0,5.0,5.0
44,2.25,5.0,4.4
45,2.0833333333333335,5.0,5.0
46,2.5833333333333335,2.3333333333333335,3.0
47,3.1666666666666665,5.0,5.0
48,2.8333333333333335,5.0,5.0
49,2.0833333333333335,4.0,4.0
50,1.0,4.0,5.0
51,2.1666666666666665,5.0,5.0
52,2.0,4.0,5.0
53,2.5833333333333335,4.222222222222222,5.0
54,1.0,5.0,5.0
55,2.6666666666666665,5.0,5.0
56,2.0,4.111111111111111,3.4
57,2.9166666666666665,5.0,5.0
58,2.8333333333333335,4.0,4.0
