"ID","Qualidade","Percepcao_Recompensas","Intencao_Comportamental"
1,2.75,5,5
2,2.41666666666667,5,5
4,3.5,3.88888888888889,3.2
5,1,2.55555555555556,1
6,2.25,3.55555555555556,1
7,2.5,3.22222222222222,3
8,3,4.77777777777778,4.6
9,2.83333333333333,5,3.66666666666667
10,1.83333333333333,5,5
11,3.5,4.55555555555556,4
12,3.25,3.66666666666667,3.6
13,1.33333333333333,5,5
14,3,5,5
15,1.91666666666667,5,5
16,3.08333333333333,3.44444444444444,3.6
17,2.25,5,5
18,2.16666666666667,5,5
19,1,5,5
20,3.08333333333333,5,5
21,2.75,5,5
22,1,5,5
23,1,5,5
24,2.5,3,2.6
25,3,5,5
26,2.58333333333333,3.22222222222222,2.9
27,2.75,5,5
28,2.66666666666667,5,5
29,1,2.66666666666667,2.9
30,3,3.44444444444444,3.6
31,1,5,5
32,1.91666666666667,5,5
33,2.58333333333333,5,5
34,1,3.66666666666667,2.2
35,1,5,5
36,2.41666666666667,3.88888888888889,3.4
37,1,5,5
38,2.16666666666667,5,5
39,2.16666666666667,5,5
40,2.41666666666667,5,5
41,1,5,5
42,1,5,5
43,1,5,5
44,2.25,5,4.4
45,2.08333333333333,5,5
46,2.58333333333333,2.33333333333333,3
47,3.16666666666667,5,5
48,2.83333333333333,5,5
50,1,4,5
51,2.16666666666667,5,5
52,2,4,5
53,2.58333333333333,4.22222222222222,5
54,1,5,5
55,2.66666666666667,5,5
56,2,4.11111111111111,3.25
57,2.91666666666667,5,5
59,1,1,1
60,1,1,1
61,2.66666666666667,5,5
63,2.75,5,5
64,1,1,1
65,2.25,5,5
66,1.75,5,5
67,1,2.77777777777778,2.2
68,1.75,5,5
69,3.33333333333333,5,5
70,1,5,5
71,2.5,5,5
72,1,5,5
73,2.83333333333333,5,5
75,1,5,5
76,1,1,1
77,2.66666666666667,5,5
78,1,5,5
79,1,5,5
80,2.25,5,5
81,3,5,5
82,2.91666666666667,5,5
83,1,5,5
84,1,5,5
85,2.5,5,5
86,2.75,5,4.2
87,1,5,5
88,1,5,5
89,1,4.77777777777778,5
90,1,2.33333333333333,3
91,2,5,5
92,1,5,1
93,1,5,5
94,1,5,5
95,2.75,5,5
96,1,1,1
97,2.5,5,5
98,1,5,5
99,3.16666666666667,5,5
100,1,5,5
101,2.83333333333333,5,5
102,1,5,5
103,1,5,5
104,1.83333333333333,3.66666666666667,3.6
105,1,5,5
106,2.58333333333333,5,5
107,2,5,5
108,1,1,1
109,2.41666666666667,5,5
110,1,5,5
111,2.33333333333333,5,5
112,1,5,5
113,1,5,5
114,3.33333333333333,5,5
115,2.58333333333333,5,5
116,1,5,5
117,2.91666666666667,5,5
118,1,5,5
119,1,5,5
120,3.66666666666667,5,5
121,1,5,5
122,1,5,5
123,2.33333333333333,5,5
124,1,5,5
125,1.75,5,5
126,1,5,5
127,1,5,5
128,3,3.66666666666667,3.5
129,1,5,5
130,2,5,5
131,1,5,5
132,2.75,5,5
133,1,5,5
134,1,5,5
135,1,5,5
136,1,1,1
137,2.5,5,5
138,1,5,5
139,1,5,5
140,1,5,5
141,1,5,5
142,2.75,5,5
143,1,5,5
144,2.83333333333333,5,5
145,1,5,5
146,1,5,5
147,1,5,5
148,1,5,5
149,1,2.77777777777778,3.4
150,1,5,5
151,1,5,5
152,1,5,5
153,1,5,5
154,3.16666666666667,3.88888888888889,4.2
155,1,5,5
156,1,5,5
157,2.91666666666667,4,2
158,1,5,5
159,1,5,5
160,2.58333333333333,3.55555555555556,3.88888888888889
161,1,5,5
162,2.58333333333333,5,5
163,2.41666666666667,3.22222222222222,3
164,1,5,5
165,2.91666666666667,5,5
166,1,5,5
167,2.5,1.88888888888889,1
168,1,5,5
169,1,5,5
170,1,5,5
171,3.16666666666667,3.66666666666667,3.6
172,1,5,5
173,2.91666666666667,5,5
174,1,5,5
175,1,5,5
176,2.25,4.33333333333333,3.8
177,1.16666666666667,4.11111111111111,5
178,2.91666666666667,5,2
179,1.91666666666667,4.55555555555556,3.8
180,2.75,3,2.5
181,2,5,5
182,3.16666666666667,3.66666666666667,3
183,2.41666666666667,5,5
185,2.66666666666667,3.88888888888889,3
186,2.83333333333333,4.11111111111111,3
187,2.16666666666667,4.22222222222222,3
188,1.91666666666667,3.22222222222222,3
189,1.5,2.88888888888889,1
190,2.66666666666667,3.44444444444444,2.33333333333333
191,2.83333333333333,4.33333333333333,5
192,2.08333333333333,4.55555555555556,3.6
193,1.91666666666667,4.33333333333333,4.75
194,2.5,4.66666666666667,3.66666666666667
195,2.91666666666667,3.77777777777778,3.22222222222222
196,1.16666666666667,4.11111111111111,5
197,1.33333333333333,3,1
199,1.66666666666667,3.44444444444444,5
200,1.91666666666667,4.22222222222222,1
201,2.75,3.44444444444444,4.57142857142857
202,3.33333333333333,3.88888888888889,4.33333333333333
203,1,5,5
204,2.58333333333333,3.11111111111111,2
205,2.75,4,3
206,2.91666666666667,5,5
207,3.33333333333333,3.55555555555556,2.66666666666667
208,1,5,5
209,1,5,3.6
210,2.5,5,5
211,3.33333333333333,4.33333333333333,5
212,2.41666666666667,4.11111111111111,3.75
213,2.83333333333333,4.33333333333333,5
214,2.91666666666667,5,5
215,2,3.77777777777778,3.25
216,3.33333333333333,3.44444444444444,2.5
217,2.58333333333333,5,5
218,2,5,5
219,2.5,5,5
220,1,3.44444444444444,3.6
221,1,1.88888888888889,2.2
222,1,5,5
223,1,1,1
224,1,5,5
225,1.66666666666667,5,5
226,1,5,5
227,2.58333333333333,5,5
228,3,5,2.2
229,1,5,5
230,1,1,1
231,1,5,5
232,2.33333333333333,5,5
233,1,5,5
234,3.08333333333333,5,5
235,1,5,5
236,3.16666666666667,5,5
237,1,5,5
238,1,5,5
239,1,5,5
240,3,5,5
241,1,5,5
242,1,5,5
243,2.66666666666667,5,5
244,1,5,5
245,2.16666666666667,5,5
246,1,5,5
247,1,5,5
248,1,5,5
249,1,5,5
250,1,5,5
251,1.75,5,5
252,3.25,2.77777777777778,3.4
253,1,1.88888888888889,2.2
254,4,3.66666666666667,3.6
255,1,5,5
256,1,5,5
257,2.83333333333333,5,5
258,2.33333333333333,5,5
259,1,2.33333333333333,2.2
260,1,5,5
261,1,5,5
262,1,5,5
263,1,5,5
264,2.83333333333333,5,5
265,1,5,5
266,1,2.33333333333333,2.2
267,1,5,5
268,2.91666666666667,5,5
269,1,5,5
270,1,5,5
271,2.58333333333333,5,5
272,3.08333333333333,5,5
273,1,1,1
274,1,5,5
275,1,5,5
276,1,5,5
277,1,1.44444444444444,1.4
278,2.16666666666667,5,5
279,1,4.66666666666667,5
280,1,5,5
281,2.75,5,5
282,1,2.33333333333333,2.2
283,1,5,5
284,1,5,5
285,1,5,5
286,3,5,5
287,1,5,2.2
288,1,5,5
289,2.33333333333333,2.33333333333333,2.2
290,1,2.33333333333333,2.2
291,1,5,5
292,1,5,5
293,3.33333333333333,5,5
294,3,5,5
295,1,5,5
296,1,1,1
297,2,2.33333333333333,2.2
298,1,5,5
299,1,2.33333333333333,2.2
300,1,3.66666666666667,3.4
301,2.25,2.33333333333333,2.2
302,1,5,5
303,1,5,5
304,1,5,5
305,1,5,5
306,1,5,5
307,1,5,5
308,3.33333333333333,5,5
309,2.41666666666667,2.33333333333333,2.2
310,2.75,5,5
311,1,5,5
312,1,5,5
313,1,5,5
314,1,5,5
315,2.5,5,3.875
316,1,5,5
317,1,5,5
318,2.66666666666667,5,5
319,1,5,5
320,1,5,5
321,1,5,5
322,1,5,5
323,1,5,5
324,2.33333333333333,5,5
325,1,5,5
326,1,5,5
327,2.08333333333333,5,5
328,1,5,5
329,1,5,5
330,1,5,5
331,1,5,5
332,2,5,5
333,1,1,1
334,2,2.33333333333333,2.2
335,1,5,5
336,1,5,5
337,1,5,5
338,1,5,5
339,1,5,5
340,1,5,5
341,3.08333333333333,5,5
342,2.5,2.33333333333333,2.2
343,1,5,5
344,1,2.33333333333333,2.2
345,1,5,5
346,1,5,5
347,1,5,5
348,1,5,5
349,3,5,5
350,1,5,5
351,1,5,5
