ID,Eu aceitaria participar se ganhasse 10 pontos para trocar por produtos e serviços por utilizar o transporte público,Eu aceitaria pagar até 10 reais por dia para ter viagens ilimitadas nesse mesmo dia no transporte público,Eu aceitaria pagar de 10 a 20 reais por dia para ter viagens ilimitadas nesse mesmo dia no transporte público,Eu aceitaria pagar entre 150 e 200 reais mensais para ter viagens ilimitadas em um mês no transporte público,Eu aceitaria pagar entre 200 e 300 reais mensais para ter viagens ilimitadas em um mês no transporte público,Eu aceitaria pagar de 800 a 1000 reais por ano para ter viagens ilimitadas em um ano no transporte público,Eu aceitaria pagar entre 1000 e 1200 reais por ano para ter viagens ilimitadas em um ano no transporte público,Eu aceitaria receber até 50 centavos por quilômetro percorrido no transporte público ,Eu aceitaria receber até 5 reais a cada 20 quilômetros percorridos no transporte público ,Eu aceitaria viajar em horários fora de pico se recebesse até 1 real de desconto na passagem,Eu aceitaria viajar em horários fora de pico se recebesse até 2 reais de desconto na passagem
1,1,1,2,0,2,1,1,1,1,1,1
2,0,4,4,1,2,2,2,1,1,1,1
3,0,0,4,0,0,4,4,4,4,4,4
4,2,1,1,1,1,1,1,2,1,1,1
5,3,3,3,3,3,3,3,3,3,3,3
6,0,0,3,0,3,0,3,0,0,0,0
7,4,4,4,4,4,4,4,4,4,4,4
8,1,4,4,4,2,1,4,1,1,1,1
9,0,0,2,0,2,0,2,1,1,0,1
10,1,1,1,1,1,1,1,1,1,1,1
11,1,1,3,1,3,3,3,1,1,1,1
12,1,3,3,3,3,3,3,1,1,4,4
13,1,1,1,1,1,1,1,1,1,1,1
14,1,1,2,2,1,1,2,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1
16,1,3,3,3,3,3,3,1,1,3,3
17,1,1,1,1,1,1,1,1,1,1,1
18,1,1,3,1,3,1,3,1,1,1,1
19,1,1,2,2,2,2,2,1,1,1,1
20,1,1,3,3,3,3,3,1,1,1,1
21,1,1,3,1,3,1,3,1,1,1,1
22,1,1,2,2,2,2,2,1,1,1,1
23,1,1,2,1,2,1,2,1,1,1,1
24,1,3,3,3,3,3,3,1,1,3,3
25,1,3,3,3,3,3,3,1,1,3,3
26,1,1,2,2,2,2,2,1,1,2,2
27,1,1,1,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1,1,1,1
29,1,0,3,3,3,3,3,1,1,3,3
30,1,4,4,4,4,4,4,1,1,4,4
31,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,1,1,1
33,1,1,3,1,3,3,3,1,1,1,3
34,1,1,3,3,3,3,3,1,1,3,3
35,1,1,3,1,3,3,3,1,1,1,1
36,1,1,3,3,3,3,3,1,1,4,4
37,1,1,1,1,1,1,1,1,1,1,1
38,1,1,3,1,3,3,3,1,1,1,1
39,1,1,2,1,2,1,3,1,1,1,1
40,1,1,3,3,3,3,3,1,1,1,1
41,1,1,1,1,1,1,1,1,1,1,1
42,1,1,3,1,3,3,3,1,1,1,1
43,1,1,3,1,3,1,3,1,1,3,3
44,1,1,3,1,3,1,3,1,1,1,1
45,1,1,0,1,0,1,0,1,1,1,1
46,1,3,3,3,3,3,3,1,1,3,3
47,1,0,0,0,0,0,0,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1
49,0,0,0,0,0,0,0,0,0,0,0
50,1,1,3,3,3,3,3,1,1,1,1
51,1,1,2,1,2,1,2,1,1,1,1
52,0,2,4,2,3,3,3,1,1,0,0
53,1,1,1,1,1,1,1,1,1,1,1
54,0,0,4,4,4,4,4,1,1,0,0
55,1,1,4,2,0,2,2,1,1,1,1
56,1,1,4,2,3,3,3,1,1,0,0
57,1,1,2,2,2,2,2,1,1,4,4
58,0,0,0,0,0,0,0,0,0,0,0
59,3,3,3,3,3,3,3,3,3,3,3
60,3,3,3,3,3,3,3,3,3,3,3
61,1,1,4,4,4,4,4,1,1,4,4
62,1,0,0,0,0,0,0,1,1,1,1
63,1,1,2,2,3,3,3,1,1,1,1
64,3,3,3,3,3,3,3,3,3,3,3
65,1,1,1,1,1,1,1,1,1,1,1
66,1,1,1,1,1,1,1,1,1,1,1
67,1,3,3,3,3,3,3,1,1,3,3
68,1,1,1,1,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1,1,1,1,1
70,1,3,3,3,3,3,3,1,1,0,0
71,1,1,1,1,1,1,1,1,1,1,1
72,1,0,3,1,3,1,3,1,1,0,0
73,1,0,2,3,3,3,3,1,1,1,1
74,1,1,2,2,2,2,2,1,1,1,1
75,1,1,1,1,1,1,1,1,1,1,1
76,3,3,3,3,3,3,3,3,3,3,3
77,1,1,1,1,1,1,1,1,1,1,1
78,1,1,1,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,1,1,1
80,1,1,1,1,1,1,1,1,1,1,1
81,1,3,3,3,3,3,3,1,1,1,1
82,1,3,3,3,3,3,3,1,1,3,3
83,1,1,1,1,1,1,1,1,1,1,1
84,1,1,3,1,3,1,3,1,1,1,1
85,1,1,3,1,3,1,3,1,1,1,1
86,1,1,1,1,1,1,1,1,1,1,1
87,1,1,0,0,0,0,0,1,1,0,0
88,1,1,1,1,1,1,1,1,1,1,1
89,1,1,3,3,3,3,3,1,1,2,2
90,1,1,3,3,3,3,3,1,1,3,3
91,1,1,1,1,1,1,1,1,1,1,1
92,1,1,3,3,3,3,3,1,1,3,3
93,1,1,0,0,0,0,0,1,1,1,1
94,1,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1
96,3,3,3,3,3,3,3,3,3,3,3
97,1,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1,1,1,1
102,1,1,4,4,4,4,4,1,1,4,4
103,1,1,1,1,1,1,1,1,1,1,1
104,1,4,4,4,4,4,4,1,1,4,4
105,1,1,1,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,1,1,1
107,1,1,0,0,0,0,0,1,1,1,1
108,3,3,3,3,3,3,3,3,3,3,3
109,1,1,3,1,3,1,3,1,1,1,1
110,1,1,4,4,4,4,4,1,1,4,4
111,1,1,1,1,1,1,1,1,1,1,1
112,1,1,1,1,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1,1,1,1,1
114,1,1,1,1,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1,1,1,1,1
116,1,3,3,3,3,3,3,1,1,1,1
117,1,1,1,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1,1,1,1
119,1,4,4,4,4,4,4,1,1,4,4
120,1,4,4,4,4,4,4,1,1,4,4
121,1,1,1,1,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1,1,1,1,1
128,1,2,2,2,2,2,2,1,1,2,2
129,1,1,1,1,1,1,1,1,1,1,1
130,1,1,1,1,1,1,1,1,1,1,1
131,1,1,1,1,1,1,1,1,1,1,1
132,1,1,1,1,1,1,1,1,1,1,1
133,1,1,1,1,1,1,1,1,1,1,1
134,1,1,1,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1,1,1
136,3,3,3,3,3,3,3,3,3,3,3
137,1,1,1,1,1,1,1,1,1,1,1
138,1,1,1,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1,1,1,1
