ID,Eu estou satisfeito com o serviço entregue pelo transporte público ,O serviço transporte Público correspondem às minhas expectativas,Considero que as minhas necessidades de deslocamento estão sendo atendidos pelo transporte público,Considero que o transporte público tem um bom custo benefício ,Considero que sou recompensado por usar o transporte público,Cartões,Aplicativos de celular,Qr Code,Bilhete impresso
1,2,1,2,4,1,1,3,3,3
2,1,1,1,1,1,1,2,3,3
3,2,2,2,2,2,1,3,3,3
4,3,4,4,3,3,1,2,3,3
5,1,1,1,1,1,1,3,3,3
6,1,1,1,1,1,2,2,2,2
7,3,3,3,3,3,4,1,1,3
8,3,3,4,3,3,1,4,4,4
9,2,2,2,2,1,2,2,0,4
10,1,1,1,1,1,2,2,2,2
11,1,1,4,1,1,1,1,0,3
12,3,3,3,3,3,4,2,4,4
13,1,1,1,1,1,2,1,3,0
14,1,1,1,1,1,2,2,2,2
15,1,1,4,4,1,2,0,0,2
16,4,4,4,4,4,2,3,3,3
17,1,1,1,1,1,2,1,0,2
18,1,1,4,3,1,2,2,2,2
19,1,1,5,4,1,2,2,2,2
20,1,1,1,1,1,2,2,2,2
21,1,1,4,4,1,2,2,2,2
22,1,1,1,1,1,2,0,3,2
23,1,1,1,1,1,2,2,2,2
24,3,3,3,3,3,2,2,3,2
25,3,3,3,3,3,2,2,2,2
26,1,1,1,1,1,2,2,3,2
27,1,1,4,1,1,2,2,0,2
28,1,1,1,1,1,2,2,0,4
29,1,1,1,1,1,2,2,2,2
30,1,1,1,1,1,4,4,4,4
31,1,1,1,1,1,2,2,0,4
32,1,1,1,1,1,2,2,2,2
33,1,1,1,1,1,2,2,0,0
34,1,1,1,1,1,2,2,2,2
35,1,1,1,1,1,2,2,2,2
36,1,1,1,1,1,2,2,2,2
37,1,1,1,1,1,2,2,2,2
38,1,1,1,1,1,2,1,3,4
39,1,1,5,1,1,2,2,2,2
40,1,1,1,1,1,2,2,3,4
41,1,1,1,1,1,2,2,3,3
42,1,1,1,1,1,2,2,3,3
43,1,1,1,1,1,2,2,3,3
44,1,1,1,1,1,2,0,3,2
45,1,1,1,1,1,2,1,0,2
46,1,1,1,1,1,2,2,3,2
47,1,1,1,1,1,2,2,2,2
48,1,1,4,1,1,2,2,4,4
49,2,2,2,2,2,1,1,1,1
50,1,1,1,1,1,2,2,3,3
51,1,1,4,1,1,2,0,3,4
52,3,3,3,3,3,2,0,3,4
53,2,2,4,2,1,2,2,2,2
54,1,1,1,1,1,1,1,3,4
55,1,2,2,1,1,2,2,2,2
56,2,2,2,2,2,1,1,0,4
57,1,1,1,1,1,2,3,3,3
58,2,2,2,2,2,1,0,0,0
59,1,1,1,1,1,2,2,0,3
60,1,1,1,1,1,2,2,4,4
61,1,1,1,1,1,2,1,0,4
62,1,1,1,1,1,2,2,2,2
63,1,1,5,1,1,2,2,0,1
64,1,1,1,1,1,2,2,3,3
65,1,1,1,1,1,2,2,2,2
66,1,1,1,1,1,2,0,3,1
67,1,1,1,1,1,2,2,2,2
68,1,1,1,1,1,2,1,3,3
69,2,2,5,2,1,2,2,2,2
70,1,1,1,1,1,2,2,3,1
71,5,5,5,5,5,2,3,3,2
72,1,1,1,1,1,2,2,2,2
73,1,1,1,1,1,2,2,3,3
74,1,1,5,1,1,2,2,2,2
75,2,2,5,4,1,2,2,3,3
76,1,1,1,1,1,3,3,3,3
77,1,1,1,1,1,2,2,2,2
78,5,5,5,5,5,2,0,3,0
79,1,1,1,1,1,2,2,2,2
80,3,3,4,1,1,2,2,0,2
81,5,5,5,5,5,2,3,3,3
82,1,1,5,5,5,2,3,3,2
83,1,1,1,1,1,2,2,0,2
84,1,2,3,2,1,2,1,3,4
85,1,1,1,1,1,2,2,3,0
86,1,1,1,1,1,2,2,2,2
87,2,2,2,2,2,2,1,0,1
88,1,1,1,1,1,2,2,2,2
89,1,1,1,1,1,2,2,2,2
90,1,1,1,1,1,2,2,3,3
91,1,1,1,1,1,2,0,3,2
92,1,1,1,1,1,2,2,3,3
93,1,1,1,1,1,2,2,3,3
94,1,5,1,1,1,2,2,2,2
95,1,1,1,1,1,2,1,1,2
96,1,1,1,1,1,2,2,2,2
97,1,1,1,1,1,2,2,2,2
98,1,1,1,1,1,2,2,2,2
99,2,2,2,2,2,2,2,2,2
100,1,1,1,1,1,2,2,2,2
101,1,1,1,1,1,2,2,2,2
102,1,1,1,1,1,2,2,2,2
103,1,1,1,1,1,2,2,2,2
104,1,4,1,1,1,2,3,3,3
105,1,1,1,1,1,2,2,3,3
106,1,1,1,1,1,2,0,0,0
107,1,1,1,1,1,2,2,2,2
108,1,1,1,1,1,2,2,3,3
109,1,1,1,1,1,2,2,3,3
110,1,1,1,1,1,2,2,2,2
111,1,1,1,1,1,1,0,3,2
112,2,2,2,2,2,2,2,3,3
113,1,1,1,1,1,2,2,2,2
114,1,5,5,1,1,2,3,3,3
115,1,1,1,1,1,2,3,3,2
116,1,1,1,1,1,2,2,2,2
117,1,1,5,1,1,2,3,3,2
118,5,5,5,5,5,2,0,3,1
119,1,1,1,1,1,2,3,3,3
120,1,5,5,1,5,2,0,3,1
121,1,1,1,1,1,2,2,2,2
122,1,1,1,1,1,2,2,2,2
123,1,1,1,1,1,2,2,2,2
124,1,1,1,1,1,2,2,2,2
