ID,Eu estou satisfeito com o serviço entregue pelo transporte público ,O serviço transporte Público correspondem às minhas expectativas,Considero que as minhas necessidades de deslocamento estão sendo atendidos pelo transporte público,Considero que o transporte público tem um bom custo benefício ,Considero que sou recompensado por usar o transporte público,Cartões,Aplicativos de celular,Qr Code,Bilhete impresso
1,Discordo,Discordo totalmente,Discordo,Concordo,Discordo totalmente,Fácil ,Muito difícil,Muito difícil,Muito difícil
2,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Fácil ,Muito Fácil,Muito difícil,Muito difícil
3,Discordo,Discordo,Discordo,Discordo,Discordo,Fácil ,Muito difícil,Muito difícil,Muito difícil
4,Neutro,Concordo,Concordo,Neutro,Neutro,Fácil ,Muito Fácil,Muito difícil,Muito difícil
5,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Fácil ,Muito difícil,Muito difícil,Muito difícil
6,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
7,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Fácil ,Fácil ,Muito difícil
8,Neutro,Neutro,Concordo,Neutro,Neutro,Fácil ,Neutro,Neutro,Neutro
9,Discordo,Discordo,Discordo,Discordo,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Neutro
10,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
11,Discordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Fácil ,Fácil ,Difícil,Muito difícil
12,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Muito Fácil,Neutro,Neutro
13,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Fácil ,Muito difícil,Difícil
14,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
15,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Discordo totalmente,Muito Fácil,Difícil,Difícil,Muito Fácil
16,Concordo,Concordo,Concordo,Concordo,Concordo,Muito Fácil,Muito difícil,Muito difícil,Muito difícil
17,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Fácil ,Difícil,Muito Fácil
18,Discordo totalmente,Discordo totalmente,Concordo,Neutro,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
19,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
20,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
21,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
22,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Difícil,Muito difícil,Muito Fácil
23,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
24,Neutro,Neutro,Neutro,Neutro,Neutro,Muito Fácil,Muito Fácil,Muito difícil,Muito Fácil
25,Neutro,Neutro,Neutro,Neutro,Neutro,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
26,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito Fácil
27,Discordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Muito Fácil
28,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Neutro
29,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
30,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Neutro,Neutro,Neutro,Neutro
31,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Neutro
32,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
33,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Difícil,Difícil
34,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
35,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
36,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
37,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
38,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Fácil ,Muito difícil,Neutro
39,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
40,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Neutro
41,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
42,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
43,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
44,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Difícil,Muito difícil,Muito Fácil
45,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Fácil ,Difícil,Muito Fácil
46,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito Fácil
47,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
48,Discordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Neutro,Neutro
49,Discordo,Discordo,Discordo,Discordo,Discordo,Fácil ,Fácil ,Fácil ,Fácil 
50,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Muito Fácil,Muito Fácil,Muito difícil,Muito difícil
51,Discordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Muito Fácil,Difícil,Muito difícil,Neutro
52,Neutro,Neutro,Neutro,Neutro,Neutro,Muito Fácil,Difícil,Muito difícil,Neutro
53,Discordo,Discordo,Concordo,Discordo,Discordo totalmente,Muito Fácil,Muito Fácil,Muito Fácil,Muito Fácil
54,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Fácil ,Fácil ,Muito difícil,Neutro
