ID,Gênero ,Raça,Idade,"Nível de escolaridade
",Situação Profissional ,"Possui filhos?  (Insira o número, no caso de não possuir colocar o número zero)",Renda,Muito obrigado por fazer parte da nossa pesquisa utilize este espaço para deixar seus comentários e sugestões 
1,1,1,2,3,4,0,1,0
2,0,3,0,3,2,1,2,0
3,1,3,2,3,2,1,4,24
4,1,1,2,3,0,2,3,0
5,1,3,2,3,2,0,4,0
6,0,3,0,3,4,0,1,0
7,1,1,0,4,4,0,1,0
8,1,3,0,3,4,0,1,0
9,0,3,0,3,4,0,1,0
10,0,1,2,4,2,0,3,2
11,1,3,2,3,2,1,4,0
12,1,3,2,3,2,3,3,0
13,0,1,0,3,4,0,1,0
14,0,3,0,3,2,0,1,0
15,1,3,2,1,2,2,2,0
16,1,1,6,2,0,4,2,0
17,0,3,0,1,2,0,1,0
18,0,3,0,1,2,0,1,0
19,0,1,0,1,2,1,1,0
20,0,3,7,1,4,0,1,0
21,0,3,0,3,2,1,1,0
22,0,1,2,1,2,2,2,0
23,0,3,0,3,4,0,1,0
24,1,3,0,2,2,3,3,0
25,1,1,2,1,2,1,2,0
26,0,3,2,3,2,0,3,0
27,0,3,0,1,2,1,1,0
28,0,1,2,1,2,0,2,0
29,1,3,2,1,2,2,2,0
30,1,3,2,3,2,0,4,0
31,0,1,0,3,2,0,2,0
32,0,3,2,1,2,0,2,0
33,1,3,2,2,2,2,2,0
34,0,1,0,3,4,0,1,0
35,0,3,0,1,2,0,2,0
36,1,3,2,1,5,2,3,0
37,0,1,0,3,3,0,1,0
38,0,3,0,3,3,0,2,0
39,0,3,0,3,4,0,1,0
40,0,1,7,1,4,0,6,0
41,1,3,2,1,5,2,2,0
42,1,3,0,1,2,0,2,0
43,1,1,0,3,2,0,2,0
44,0,3,3,1,2,0,2,0
45,0,3,3,1,2,2,3,0
46,1,1,1,2,2,1,3,0
47,1,3,1,3,2,0,2,0
48,0,3,1,3,4,0,1,0
49,0,3,1,1,2,4,2,0
