ID,Preço da passagem,Espaço disponível é suficiente para os passageiros sentados ou em pé,Temperatura interna ,Tempo total de viagem  ,Frequência com que os veículos passam ao longo dia ,Velocidade dos veículos  ,Segurança dentro dos veículos e nos pontos de ônibus/estações ,"Informação de linhas, horários e itinerários  ",Locais atendidos pelo transporte público ,Confiabilidade nos horários ,Facilidade de entrada e saída dos veículos e/ou estações e pontos de ônibus  ,Limpeza dentro do veículo e nos pontos de ônibus e estações
1,Insatisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Satisfeito,Insatisfeito,Satisfeito,Neutro
2,Muito insatisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Muito satisfeito,Satisfeito
3,Neutro,Satisfeito,Neutro,Insatisfeito,Neutro,Satisfeito,Neutro,Neutro,Neutro,Satisfeito,Neutro,Satisfeito
4,Neutro,Insatisfeito,Satisfeito,Satisfeito,Satisfeito,Neutro,Insatisfeito,Muito satisfeito,Satisfeito,Muito satisfeito,Neutro,Neutro
5,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
6,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Neutro,Neutro,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Neutro,Neutro,Neutro,Insatisfeito
7,Insatisfeito,Insatisfeito,Satisfeito,Muito insatisfeito,Neutro,Neutro,Neutro,Insatisfeito,Insatisfeito,Neutro,Neutro,Insatisfeito
8,Insatisfeito,Neutro,Neutro,Neutro,Neutro,Satisfeito,Insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Neutro,Neutro
9,Muito insatisfeito,Muito insatisfeito,Satisfeito,Insatisfeito,Satisfeito,Insatisfeito,Insatisfeito,Muito satisfeito,Muito satisfeito,Muito insatisfeito,Satisfeito,Neutro
10,Muito insatisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Satisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Insatisfeito
11,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Muito satisfeito,Satisfeito
12,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Muito satisfeito,Insatisfeito,Muito satisfeito,Muito satisfeito,Satisfeito
13,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
14,Muito insatisfeito,Muito insatisfeito,Satisfeito,Insatisfeito,Satisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Muito satisfeito,Insatisfeito,Muito satisfeito,Satisfeito
15,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Satisfeito,Neutro,Insatisfeito,Satisfeito,Neutro
16,Muito insatisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito
17,Muito insatisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Satisfeito
18,Muito insatisfeito,Muito insatisfeito,Neutro,Neutro,Muito insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Neutro
19,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
20,Muito insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Satisfeito,Satisfeito
21,Muito insatisfeito,Muito insatisfeito,Neutro,Neutro,Insatisfeito,Insatisfeito,Muito insatisfeito,Satisfeito,Satisfeito,Insatisfeito,Muito satisfeito,Muito satisfeito
22,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
23,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
24,Muito insatisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Insatisfeito,Muito satisfeito,Satisfeito
25,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro
26,Muito insatisfeito,Muito insatisfeito,Satisfeito,Insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Insatisfeito,Satisfeito,Neutro
27,Muito insatisfeito,Insatisfeito,Satisfeito,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Insatisfeito,Muito satisfeito,Satisfeito
28,Muito insatisfeito,Insatisfeito,Neutro,Muito insatisfeito,Insatisfeito,Insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Insatisfeito,Muito satisfeito,Satisfeito
29,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
30,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro
31,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
32,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Muito insatisfeito,Muito satisfeito,Muito insatisfeito
33,Muito insatisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Neutro,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito
34,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
35,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
36,Muito insatisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Muito insatisfeito,Muito insatisfeito,Muito satisfeito,Satisfeito,Muito insatisfeito,Satisfeito,Insatisfeito
37,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito,Muito insatisfeito
