nome_original,nome_abreviado
Eu aceitaria participar se ganhasse 10 pontos para trocar por produtos e serviços por utilizar o transporte público,V1
Eu aceitaria pagar até 10 reais por dia para ter viagens ilimitadas nesse mesmo dia no transporte público,V2
Eu aceitaria pagar de 10 a 20 reais por dia para ter viagens ilimitadas nesse mesmo dia no transporte público,V3
Eu aceitaria pagar entre 150 e 200 reais mensais para ter viagens ilimitadas em um mês no transporte público,V4
Eu aceitaria pagar entre 200 e 300 reais mensais para ter viagens ilimitadas em um mês no transporte público,V5
Eu aceitaria pagar de 800 a 1000 reais por ano para ter viagens ilimitadas em um ano no transporte público,V6
Eu aceitaria pagar entre 1000 e 1200 reais por ano para ter viagens ilimitadas em um ano no transporte público,V7
Eu aceitaria receber até 50 centavos por quilômetro percorrido no transporte público ,V8
Eu aceitaria receber até 5 reais a cada 20 quilômetros percorridos no transporte público ,V9
Eu aceitaria viajar em horários fora de pico se recebesse até 1 real de desconto na passagem,V10
Eu aceitaria viajar em horários fora de pico se recebesse até 2 reais de desconto na passagem,V11
